Beta (v/c)	 Gamma 
0.289		 1.04457 
0.29		 1.0449 
0.291		 1.04523 
0.292		 1.04557 
0.293		 1.0459 
0.294		 1.04624 
0.295		 1.04658 
0.296		 1.04691 
0.297		 1.04725 
0.298		 1.0476 
0.299		 1.04794 
0.3		 1.04828 
0.301		 1.04863 
0.302		 1.04898 
0.303		 1.04933 
0.304		 1.04968 
0.305		 1.05003 
0.306		 1.05039 
0.307		 1.05074 
0.308		 1.0511 
0.309		 1.05146 
0.31		 1.05182 
0.311		 1.05218 
0.312		 1.05254 
0.313		 1.05291 
0.314		 1.05327 
0.315		 1.05364 
0.316		 1.05401 
0.317		 1.05438 
0.318		 1.05475 
0.319		 1.05513 
0.32		 1.0555 
0.321		 1.05588 
0.322		 1.05626 
0.323		 1.05664 
0.324		 1.05702 
0.325		 1.0574 
0.326		 1.05779 
0.327		 1.05817 
0.328		 1.05856 
0.329		 1.05895 
0.33		 1.05934 
0.331		 1.05974 
0.332		 1.06013 
0.333		 1.06053 
0.334		 1.06093 
0.335		 1.06133 
0.336		 1.06173 
0.337		 1.06213 
0.338		 1.06253 
0.339		 1.06294 
0.34		 1.06335 
0.341		 1.06376 
0.342		 1.06417 
0.343		 1.06458 
0.344		 1.065 
0.345		 1.06541 
0.346		 1.06583 
0.347		 1.06625 
0.348		 1.06667 
0.349		 1.0671 
0.35		 1.06752 
0.351		 1.06795 
0.352		 1.06838 
0.353		 1.06881 
0.354		 1.06924 
0.355		 1.06967 
0.356		 1.07011 
0.357		 1.07054 
0.358		 1.07098 
0.359		 1.07142 
0.36		 1.07187 
0.361		 1.07231 
0.362		 1.07276 
0.363		 1.0732 
0.364		 1.07365 
0.365		 1.07411 
0.366		 1.07456 
0.367		 1.07501 
0.368		 1.07547 
0.369		 1.07593 
0.37		 1.07639 
0.371		 1.07685 
0.372		 1.07732 
0.373		 1.07778 
0.374		 1.07825 
0.375		 1.07872 
0.376		 1.07919 
0.377		 1.07966 
0.378		 1.08014 
0.379		 1.08062 
0.38		 1.0811 
0.381		 1.08158 
0.382		 1.08206 
0.383		 1.08255 
0.384		 1.08303 
0.385		 1.08352 
0.386		 1.08401 
0.387		 1.0845 
0.388		 1.085 
0.389		 1.0855 
0.39		 1.08599 
0.391		 1.0865 
0.392		 1.087 
0.393		 1.0875 
0.394		 1.08801 
0.395		 1.08852 
0.396		 1.08903 
0.397		 1.08954 
0.398		 1.09005 
0.399		 1.09057 
0.4		 1.09109 
0.401		 1.09161 
0.402		 1.09213 
0.403		 1.09266 
0.404		 1.09318 
0.405		 1.09371 
0.406		 1.09424 
0.407		 1.09478 
0.408		 1.09531 
0.409		 1.09585 
0.41		 1.09639 
0.411		 1.09693 
0.412		 1.09747 
0.413		 1.09802 
0.414		 1.09857 
0.415		 1.09912 
0.416		 1.09967 
0.417		 1.10022 
0.418		 1.10078 
0.419		 1.10134 
0.42		 1.1019 
0.421		 1.10246 
0.422		 1.10303 
0.423		 1.10359 
0.424		 1.10416 
0.425		 1.10474 
0.426		 1.10531 
0.427		 1.10589 
0.428		 1.10647 
0.429		 1.10705 
0.43		 1.10763 
0.431		 1.10822 
0.432		 1.1088 
0.433		 1.10939 
0.434		 1.10999 
0.435		 1.11058 
0.436		 1.11118 
0.437		 1.11178 
0.438		 1.11238 
0.439		 1.11298 
0.44		 1.11359 
0.441		 1.1142 
0.442		 1.11481 
0.443		 1.11542 
0.444		 1.11604 
0.445		 1.11666 
0.446		 1.11728 
0.447		 1.1179 
0.448		 1.11853 
0.449		 1.11915 
0.45		 1.11979 
0.451		 1.12042 
0.452		 1.12105 
0.453		 1.12169 
0.454		 1.12233 
0.455		 1.12298 
0.456		 1.12362 
0.457		 1.12427 
0.458		 1.12492 
0.459		 1.12557 
0.46		 1.12623 
0.461		 1.12689 
0.462		 1.12755 
0.463		 1.12821 
0.464		 1.12888 
0.465		 1.12955 
0.466		 1.13022 
0.467		 1.13089 
0.468		 1.13157 
0.469		 1.13225 
0.47		 1.13293 
0.471		 1.13362 
0.472		 1.1343 
0.473		 1.13499 
0.474		 1.13569 
0.475		 1.13638 
0.476		 1.13708 
0.477		 1.13778 
0.478		 1.13849 
0.479		 1.13919 
0.48		 1.1399 
0.481		 1.14061 
0.482		 1.14133 
0.483		 1.14205 
0.484		 1.14277 
0.485		 1.14349 
0.486		 1.14422 
0.487		 1.14495 
0.488		 1.14568 
0.489		 1.14642 
0.49		 1.14715 
0.491		 1.1479 
0.492		 1.14864 
0.493		 1.14939 
0.494		 1.15014 
0.495		 1.15089 
0.496		 1.15165 
0.497		 1.1524 
0.498		 1.15317 
0.499		 1.15393 
0.5		 1.1547 
0.501		 1.15547 
0.502		 1.15625 
0.503		 1.15702 
0.504		 1.1578 
0.505		 1.15859 
0.506		 1.15938 
0.507		 1.16017 
0.508		 1.16096 
0.509		 1.16176 
0.51		 1.16255 
0.511		 1.16336 
0.512		 1.16416 
0.513		 1.16497 
0.514		 1.16579 
0.515		 1.1666 
0.516		 1.16742 
0.517		 1.16824 
0.518		 1.16907 
0.519		 1.1699 
0.52		 1.17073 
0.521		 1.17157 
0.522		 1.17241 
0.523		 1.17325 
0.524		 1.1741 
0.525		 1.17495 
0.526		 1.1758 
0.527		 1.17666 
0.528		 1.17752 
0.529		 1.17838 
0.53		 1.17925 
0.531		 1.18012 
0.532		 1.18099 
0.533		 1.18187 
0.534		 1.18275 
0.535		 1.18364 
0.536		 1.18453 
0.537		 1.18542 
0.538		 1.18632 
0.539		 1.18722 
0.54		 1.18812 
0.541		 1.18903 
0.542		 1.18994 
0.543		 1.19086 
0.544		 1.19177 
0.545		 1.1927 
0.546		 1.19362 
0.547		 1.19455 
0.548		 1.19549 
0.549		 1.19643 
0.55		 1.19737 
0.551		 1.19831 
0.552		 1.19926 
0.553		 1.20022 
0.554		 1.20118 
0.555		 1.20214 
0.556		 1.20311 
0.557		 1.20408 
0.558		 1.20505 
0.559		 1.20603 
0.56		 1.20701 
0.561		 1.208 
0.562		 1.20899 
0.563		 1.20998 
0.564		 1.21098 
0.565		 1.21199 
0.566		 1.213 
0.567		 1.21401 
0.568		 1.21502 
0.569		 1.21605 
0.57		 1.21707 
0.571		 1.2181 
0.572		 1.21914 
0.573		 1.22017 
0.574		 1.22122 
0.575		 1.22226 
0.576		 1.22332 
0.577		 1.22437 
0.578		 1.22543 
0.579		 1.2265 
0.58		 1.22757 
0.581		 1.22865 
0.582		 1.22973 
0.583		 1.23081 
0.584		 1.2319 
0.585		 1.233 
0.586		 1.23409 
0.587		 1.2352 
0.588		 1.23631 
0.589		 1.23742 
0.59		 1.23854 
0.591		 1.23966 
0.592		 1.24079 
0.593		 1.24192 
0.594		 1.24306 
0.595		 1.24421 
0.596		 1.24535 
0.597		 1.24651 
0.598		 1.24767 
0.599		 1.24883 
0.6		 1.25 
0.601		 1.25117 
0.602		 1.25235 
0.603		 1.25354 
0.604		 1.25473 
0.605		 1.25593 
0.606		 1.25713 
0.607		 1.25833 
0.608		 1.25955 
0.609		 1.26076 
0.61		 1.26199 
0.611		 1.26322 
0.612		 1.26445 
0.613		 1.26569 
0.614		 1.26694 
0.615		 1.26819 
0.616		 1.26944 
0.617		 1.27071 
0.618		 1.27198 
0.619		 1.27325 
0.62		 1.27453 
0.621		 1.27582 
0.622		 1.27711 
0.623		 1.27841 
0.624		 1.27971 
0.625		 1.28103 
0.626		 1.28234 
0.627		 1.28367 
0.628		 1.28499 
0.629		 1.28633 
0.63		 1.28767 
0.631		 1.28902 
0.632		 1.29038 
0.633		 1.29174 
0.634		 1.2931 
0.635		 1.29448 
0.636		 1.29586 
0.637		 1.29725 
0.638		 1.29864 
0.639		 1.30004 
0.64		 1.30145 
0.641		 1.30286 
0.642		 1.30428 
0.643		 1.30571 
0.644		 1.30715 
0.645		 1.30859 
0.646		 1.31004 
0.647		 1.31149 
0.648		 1.31296 
0.649		 1.31443 
0.65		 1.3159 
0.651		 1.31739 
0.652		 1.31888 
0.653		 1.32038 
0.654		 1.32189 
0.655		 1.3234 
0.656		 1.32492 
0.657		 1.32645 
0.658		 1.32799 
0.659		 1.32953 
0.66		 1.33109 
0.661		 1.33265 
0.662		 1.33422 
0.663		 1.33579 
0.664		 1.33738 
0.665		 1.33897 
0.666		 1.34057 
0.667		 1.34218 
0.668		 1.34379 
0.669		 1.34542 
0.67		 1.34705 
0.671		 1.3487 
0.672		 1.35035 
0.673		 1.352 
0.674		 1.35367 
0.675		 1.35535 
0.676		 1.35703 
0.677		 1.35873 
0.678		 1.36043 
0.679		 1.36214 
0.68		 1.36386 
0.681		 1.36559 
0.682		 1.36733 
0.683		 1.36908 
0.684		 1.37084 
0.685		 1.3726 
0.686		 1.37438 
0.687		 1.37616 
0.688		 1.37796 
0.689		 1.37976 
0.69		 1.38158 
0.691		 1.3834 
0.692		 1.38524 
0.693		 1.38708 
0.694		 1.38894 
0.695		 1.3908 
0.696		 1.39268 
0.697		 1.39456 
0.698		 1.39646 
0.699		 1.39836 
0.7		 1.40028 
0.701		 1.40221 
0.702		 1.40415 
0.703		 1.40609 
0.704		 1.40805 
0.705		 1.41002 
0.706		 1.41201 
0.707		 1.414 
0.708		 1.416 
0.709		 1.41802 
0.71		 1.42005 
0.711		 1.42209 
0.712		 1.42414 
0.713		 1.4262 
0.714		 1.42827 
0.715		 1.43036 
0.716		 1.43246 
0.717		 1.43457 
0.718		 1.43669 
0.719		 1.43883 
0.72		 1.44098 
0.721		 1.44314 
0.722		 1.44531 
0.723		 1.4475 
0.724		 1.4497 
0.725		 1.45191 
0.726		 1.45413 
0.727		 1.45637 
0.728		 1.45863 
0.729		 1.46089 
0.73		 1.46317 
0.731		 1.46546 
0.732		 1.46777 
0.733		 1.47009 
0.734		 1.47243 
0.735		 1.47478 
0.736		 1.47715 
0.737		 1.47952 
0.738		 1.48192 
0.739		 1.48433 
0.74		 1.48675 
0.741		 1.48919 
0.742		 1.49165 
0.743		 1.49412 
0.744		 1.4966 
0.745		 1.49911 
0.746		 1.50162 
0.747		 1.50416 
0.748		 1.50671 
0.749		 1.50927 
0.75		 1.51186 
0.751		 1.51446 
0.752		 1.51708 
0.753		 1.51971 
0.754		 1.52236 
0.755		 1.52503 
0.756		 1.52772 
0.757		 1.53042 
0.758		 1.53314 
0.759		 1.53588 
0.76		 1.53864 
0.761		 1.54142 
0.762		 1.54422 
0.763		 1.54703 
0.764		 1.54987 
0.765		 1.55272 
0.766		 1.5556 
0.767		 1.55849 
0.768		 1.5614 
0.769		 1.56434 
0.77		 1.56729 
0.771		 1.57027 
0.772		 1.57326 
0.773		 1.57628 
0.774		 1.57932 
0.775		 1.58238 
0.776		 1.58546 
0.777		 1.58856 
0.778		 1.59169 
0.779		 1.59484 
0.78		 1.59801 
0.781		 1.6012 
0.782		 1.60442 
0.783		 1.60766 
0.784		 1.61093 
0.785		 1.61422 
0.786		 1.61753 
0.787		 1.62087 
0.788		 1.62423 
0.789		 1.62762 
0.79		 1.63104 
0.791		 1.63448 
0.792		 1.63795 
0.793		 1.64144 
0.794		 1.64496 
0.795		 1.64851 
0.796		 1.65208 
0.797		 1.65569 
0.798		 1.65932 
0.799		 1.66298 
0.8		 1.66667 
0.801		 1.67039 
0.802		 1.67413 
0.803		 1.67791 
0.804		 1.68172 
0.805		 1.68556 
0.806		 1.68943 
0.807		 1.69333 
0.808		 1.69727 
0.809		 1.70123 
0.81		 1.70523 
0.811		 1.70927 
0.812		 1.71333 
0.813		 1.71743 
0.814		 1.72157 
0.815		 1.72574 
0.816		 1.72995 
0.817		 1.73419 
0.818		 1.73847 
0.819		 1.74279 
0.82		 1.74714 
0.821		 1.75153 
0.822		 1.75596 
0.823		 1.76044 
0.824		 1.76495 
0.825		 1.7695 
0.826		 1.77409 
0.827		 1.77872 
0.828		 1.7834 
0.829		 1.78811 
0.83		 1.79287 
0.831		 1.79768 
0.832		 1.80253 
0.833		 1.80743 
0.834		 1.81237 
0.835		 1.81736 
0.836		 1.82239 
0.837		 1.82748 
0.838		 1.83261 
0.839		 1.83779 
0.84		 1.84302 
0.841		 1.84831 
0.842		 1.85365 
0.843		 1.85903 
0.844		 1.86448 
0.845		 1.86998 
0.846		 1.87553 
0.847		 1.88114 
0.848		 1.88681 
0.849		 1.89253 
0.85		 1.89832 
0.851		 1.90416 
0.852		 1.91007 
0.853		 1.91604 
0.854		 1.92207 
0.855		 1.92816 
0.856		 1.93433 
0.857		 1.94056 
0.858		 1.94685 
0.859		 1.95322 
0.86		 1.95965 
0.861		 1.96616 
0.862		 1.97274 
0.863		 1.9794 
0.864		 1.98613 
0.865		 1.99294 
0.866		 1.99982 
0.867		 2.00679 
0.868		 2.01384 
0.869		 2.02097 
0.87		 2.02818 
0.871		 2.03549 
0.872		 2.04288 
0.873		 2.05036 
0.874		 2.05793 
0.875		 2.06559 
0.876		 2.07335 
0.877		 2.08121 
0.878		 2.08916 
0.879		 2.09722 
0.88		 2.10538 
0.881		 2.11365 
0.882		 2.12202 
0.883		 2.1305 
0.884		 2.1391 
0.885		 2.14781 
0.886		 2.15664 
0.887		 2.16558 
0.888		 2.17465 
0.889		 2.18385 
0.89		 2.19317 
0.891		 2.20263 
0.892		 2.21222 
0.893		 2.22194 
0.894		 2.23181 
0.895		 2.24182 
0.896		 2.25198 
0.897		 2.26229 
0.898		 2.27275 
0.899		 2.28337 
0.9		 2.29416 
0.901		 2.30511 
0.902		 2.31623 
0.903		 2.32753 
0.904		 2.339 
0.905		 2.35066 
0.906		 2.36252 
0.907		 2.37456 
0.908		 2.3868 
0.909		 2.39925 
0.91		 2.41192 
0.911		 2.42479 
0.912		 2.43789 
0.913		 2.45122 
0.914		 2.46479 
0.915		 2.4786 
0.916		 2.49266 
0.917		 2.50697 
0.918		 2.52156 
0.919		 2.53641 
0.92		 2.55155 
0.921		 2.56698 
0.922		 2.58271 
0.923		 2.59875 
0.924		 2.61511 
0.925		 2.63181 
0.926		 2.64884 
0.927		 2.66623 
0.928		 2.68399 
0.929		 2.70212 
0.93		 2.72065 
0.931		 2.73958 
0.932		 2.75894 
0.933		 2.77873 
0.934		 2.79898 
0.935		 2.8197 
0.936		 2.84091 
0.937		 2.86263 
0.938		 2.88488 
0.939		 2.90768 
0.94		 2.93105 
0.941		 2.95503 
0.942		 2.97962 
0.943		 3.00487 
0.944		 3.0308 
0.945		 3.05745 
0.946		 3.08483 
0.947		 3.113 
0.948		 3.14198 
0.949		 3.17182 
0.95		 3.20256 
0.951		 3.23425 
0.952		 3.26693 
0.953		 3.30065 
0.954		 3.33548 
0.955		 3.37148 
0.956		 3.4087 
0.957		 3.44723 
0.958		 3.48714 
0.959		 3.52851 
0.96		 3.57143 
0.961		 3.616 
0.962		 3.66234 
0.963		 3.71056 
0.964		 3.76078 
0.965		 3.81316 
0.966		 3.86784 
0.967		 3.92501 
0.968		 3.98485 
0.969		 4.04759 
0.97		 4.11345 
0.971		 4.18271 
0.972		 4.25567 
0.973		 4.33266 
0.974		 4.41408 
0.975		 4.50035 
0.976		 4.59199 
0.977		 4.68957 
0.978		 4.79375 
0.979		 4.90532 
0.98		 5.02519 
0.981		 5.15443 
0.982		 5.29434 
0.983		 5.44646 
0.984		 5.61267 
0.985		 5.79528 
0.986		 5.99717 
0.987		 6.22199 
0.988		 6.47442 
0.989		 6.76062 
0.99		 7.08881 
0.991		 7.47039 
0.992		 7.92155 
0.993		 8.46637 
0.994		 9.14243 
0.995		 10.0125 
0.996		 11.1915 
0.997		 12.9196 
0.998		 15.8193 
0.999		 22.3663 
